index	name
1	Left RN
2	Right RN
3	Left SN
4	Right SN
5	Left STn
6	Right STn
7	Left Caudate
8	Right Caudate
9	Left Putamen
10	Right Putamen
11	Left GPe
12	Right GPe
13	Left GPi
14	Right GPi
15	Left Hippocampus
16	Right Hippocampus
17	Left NAc
18	Right NAc
19	Left Amygdala
20	Right Amygdala
21	Left ZI
22	Right ZI
